iteration,start_time,end_time,latency_ms
0,400296.0325,400296.0899979,57.49790003756061
1,400296.0900148,400296.145832,55.817199987359345
2,400296.1458433,400296.225096,79.25270003033802
3,400296.2251226,400296.3007731,75.65050001721829
4,400296.3008078,400296.3778606,77.05279998481274
5,400296.3778787,400296.4557151,77.83640001434833
6,400296.4557394,400296.510965,55.22560002282262
7,400296.51099,400296.58217,71.18000002810732
8,400296.5822031,400296.6579825,75.77939995098859
9,400296.6580099,400296.7451671,87.15719997417182
10,400296.7451911,400296.8100623,64.8712000111118
11,400296.810087,400296.8689609,58.873899979516864
12,400296.8689719,400296.9442813,75.30939998105168
13,400296.9443066,400297.0106252,66.31859997287393
14,400297.0106543,400297.0828885,72.23420002264902
15,400297.0829066,400297.1441069,61.20030005695298
16,400297.1441187,400297.2230825,78.96379998419434
17,400297.2230971,400297.2995557,76.45860000047833
18,400297.299581,400297.377464,77.88300001993775
19,400297.3774843,400297.4301011,52.616800006944686
20,400297.4301127,400297.5109686,80.855900014285
21,400297.5109937,400297.5663365,55.34279998391867
22,400297.5663595,400297.6471401,80.78060002299026
23,400297.6471652,400297.7233239,76.1587000451982
24,400297.723349,400297.7793078,55.95880001783371
25,400297.7793337,400297.8640988,84.76509997854009
26,400297.8641239,400297.9402679,76.14399999147281
27,400297.9402946,400298.0116782,71.38360000681132
28,400298.0117046,400298.0813363,69.63169999653473
29,400298.0813613,400298.1635534,82.19210000243038
30,400298.1636647,400298.2227379,59.07319998368621
31,400298.2227643,400298.2958467,73.08240002021194
32,400298.2958726,400298.3764725,80.5998999858275
33,400298.3764974,400298.433428,56.93060002522543
34,400298.4334625,400298.5084291,74.9665999901481
35,400298.5084547,400298.5799498,71.49509998271242
36,400298.5799755,400298.6621757,82.20020000590011
37,400298.6622028,400298.7283113,66.10850000288337
38,400298.7283379,400298.787658,59.32010000105947
39,400298.7876826,400298.8459206,58.237999968696386
40,400298.8459463,400298.9133905,67.44419998722151
41,400298.9134152,400298.99461,81.19479997549206
42,400298.9946366,400299.0622877,67.65109999105334
43,400299.0623124,400299.1423669,80.05449996562675
44,400299.1423927,400299.2129243,70.53159998031333
45,400299.2129616,400299.2686243,55.662700033281
46,400299.2686481,400299.3239077,55.25959999067709
47,400299.3239341,400299.3798057,55.87159999413416
48,400299.3798307,400299.4599645,80.13379998737946
49,400299.4599907,400299.5174656,57.474899978842586
50,400299.5174965,400299.5958839,78.38740001898259
51,400299.5959089,400299.6610694,65.16050000209361
52,400299.6610953,400299.730159,69.06370003707707
53,400299.7301843,400299.7915789,61.39460002304986
54,400299.7916065,400299.8631857,71.57919998280704
55,400299.8632119,400299.9187911,55.57919997954741
56,400299.9188187,400299.9963443,77.52559997607023
57,400299.9963691,400300.0616338,65.26469998061657
58,400300.0616594,400300.1434134,81.7539999843575
59,400300.1434393,400300.2117342,68.29490000382066
60,400300.2117618,400300.2937504,81.98860002448782
61,400300.2937754,400300.3525289,58.7535000522621
62,400300.3525535,400300.4066918,54.13830000907183
63,400300.4067234,400300.4630335,56.31010001525283
64,400300.4630603,400300.5430819,80.02160000614822
65,400300.5431074,400300.5989752,55.86779996519908
66,400300.5990003,400300.6549825,55.98220002138987
67,400300.6550086,400300.7098713,54.86269999528304
68,400300.7098964,400300.7891361,79.23969998955727
69,400300.7891604,400300.860969,71.80859998334199
70,400300.860987,400300.9437393,82.75230001891032
71,400300.9437523,400300.998747,54.99470001086593
72,400300.9987581,400301.0649478,66.18970003910363
73,400301.0649597,400301.1451108,80.15110000269488
74,400301.1451265,400301.2097302,64.60370001150295
75,400301.2097417,400301.2903765,80.63480001874268
76,400301.2904009,400301.3460696,55.6687000207603
77,400301.3460818,400301.4280206,81.93879999453202
78,400301.4280315,400301.5118442,83.81270000245422
79,400301.5118684,400301.568423,56.55460001435131
80,400301.5684484,400301.646254,77.80560001265258
81,400301.6462902,400301.7312689,84.97869997518137
82,400301.7312956,400301.8086137,77.3180999676697
83,400301.8086256,400301.8785316,69.90599998971447
84,400301.8785461,400301.9552307,76.68460003333166
85,400301.955254,400302.0187212,63.46720003057271
86,400302.0187503,400302.0965564,77.80610001645982
87,400302.0965813,400302.1744906,77.90929998736829
88,400302.1745152,400302.2299327,55.41749997064471
89,400302.2299447,400302.283057,53.11229999642819
90,400302.2830718,400302.3349144,51.84259999077767
91,400302.3349264,400302.4100863,75.15990000683814
92,400302.4101131,400302.4654511,55.33800000557676
93,400302.465474,400302.5430896,77.6155999628827
94,400302.5431141,400302.6129976,69.88349999301136
95,400302.6130232,400302.6970527,84.02949996525422
96,400302.6970775,400302.7788951,81.817600002978
97,400302.7789204,400302.8400619,61.14149995846674
98,400302.8400866,400302.9306472,90.56059998692945
99,400302.9306899,400303.0138407,83.1507999682799
